Find companies,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Find News Results,Find most recent news,News,Find open jobs,Find Open Jobs,Find Active Job Openings,Job Openings,Find company's competitors,Enrich Company (via Zenrows),Competitors,Enrich Company with Latest Fundraising Data,Get fundraising data for company,Enrich a company's latest funding round,Latest Funding,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Send table data
,Future AGI,"At Future AGI, we enable developers and businesses to build and deliver their AI systems in days (not months). Designed for the modern era of Generative AI, our innovative platform provides intuitive tools for fine-tuning prompts, LLM experimentation, evaluating models, annotating data or optimizing performance, making complex AI workflows seamless and efficient. 

Future AGI delivers solutions that drive 10x faster results, 99% accurate outcomes, and 100% customer satisfaction. All of this can be done without human-in-the-loop or golden dataset!

Backed by US & Singapore based investors, cutting-edge research and proprietary evaluation metrics, our platform ensures that every step of your AI workflow is efficient, reliable, and impactful. Trusted by startups and Fortune500 enterprises, Future AGI is helping teams unlock the full potential of AI to deliver smarter, faster, and more scalable solutions.","Technology, Information and Internet",11-50 employees,Privately Held,San Francisco,United States,futureagi.com,https://www.linkedin.com/company/futureagi,,,,,,,,,,,,,,,,,,,,✅ Sent
,Productside,"We are in the service of Product Leaders and Managers on their journey to doing product better.

Our approach of Training + Advisory takes the guesswork out of Product Management helping teams work better and achieve more product success in market.

Actionable Framework: Our Blueprint comes with an actionable Playbook that can be executed by any Product Manager

Leadership Engagement: We get leadership on board to support and drive the change.

Custom Training: Our training is a communication tool of the new expectations for product management and the organization and builds on the foundation you already have.

Organization-Wide Support: We ensure all parts of the organization are aligned and supportive of the change.

Measurable Wins: We incorporate ways to assess quick wins to reinforce the change.

Industry-Standard Certifications - The most respected credentials available in conjunction with our third-party certification administrator and strategic partner, AIPMM.


Check out our Free Team Assessment to see how your team stacks up on the Product Management Maturity curve.",Professional Training and Coaching,11-50 employees,Privately Held,"Dover, Delaware",United States,productside.com,https://www.linkedin.com/company/productside,,,,,,,,,,,,,,,,,,,,✅ Sent
,Cimba.ai,"Cimba.AI, the Gen-AI-native platform that gives enterprises the power to create custom adaptive AI agents that can produce deep insights and recommend and trigger business actions based on internal data and knowledge base. The platform leverages self-training artificial intelligence that learns and adapts to an organization’s unique knowledgebase(i.e., dashboards, query history, metadata, playbooks, etc.), providing business decision makers with customizable AI agents that generate both insights and recommended next steps to take based on their data (i.e., Snowflake)","Technology, Information and Internet",11-50 employees,Privately Held,"San Francisco, CA",United States,cimba.ai,https://www.linkedin.com/company/cimba-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,DARVIS,"DARVIS is a health-tech innovator redefining how hospitals manage their supply chains with AI-driven computer vision.

Our flagship solution, DARVIS Digital Shelves, provides 24/7 real-time visibility into inventory by automating barcode and QR code scanning, continuously monitoring supply fill-levels, and generating actionable insights. From SKU tracking and consumption trends to expiration alerts, location-based availability, and automated reorders — we empower healthcare providers to plan with precision.

By optimizing workflows across PAR locations, we help hospitals reduce costs, prevent stockouts and hoarding, lower baseline inventory, and free up staff from manual tasks. The result: safer patient care, more satisfied teams, and measurable contributions to ESG goals.

Ready for AI-smart demand planning?  Let’s dive in! ",IT Services and IT Consulting,11-50 employees,Privately Held,"Cambridge, Massachusetts",United States,darvis.com,https://www.linkedin.com/company/darvisinc,,,,,,,,,,,,,,,,,,,,✅ Sent
,Marketing AI Institute,"Marketing AI Institute helps marketers build a competitive advantage with AI by providing expert content, online education, interactive tools, strategic consulting, and live events.

Since 2016, we've published more than 900 articles to help marketers understand, pilot and scale AI. We track and analyze hundreds of AI-powered vendors with $15+ billion in combined funding. And we partner with top AI-first companies to bring the industry-exclusive insights straight from the cutting-edge of AI adoption and implementation.

This work has turned our team into industry-leading experts on the potential opportunities and practical considerations presented by AI in marketing. We share this expertise through actionable content, online education, and in-depth resources to help you take your company and career to the next level with AI.",Advertising Services,2-10 employees,Privately Held,"Cleveland, Ohio",United States,marketingaiinstitute.com,https://www.linkedin.com/company/mktgai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Peakflo (YC W22),"Peakflo agentic workflows allows enterprises to streamline their finance and operations processes. 100+ teams, use Peakflo to: 

 Save 2000 man-hours/month on finance ops  
 Get paid faster on customer invoices by 15-25 days 
 Cut vendor bill payment time by 50% 
 Streamline travel and expense reimbursements","Technology, Information and Internet",11-50 employees,Privately Held,"San Francisco, California",United States,peakflo.ai,https://www.linkedin.com/company/peakflo,,,,,,,,,,,,,,,,,,,,✅ Sent
,Tucuvi,"Tucuvi is a leading Voice AI platform that empowers health systems to enhance patient outreach and optimize care delivery. Using clinically validated Conversational AI, Tucuvi automates routine care processes, allowing clinical teams to focus on patients who need the most urgent attention. Our platform seamlessly integrates with existing health IT infrastructure and is scalable across health systems of any size. With over 40 customizable clinical protocols—ranging from transitional care to long-term chronic care management—we've improved care with over 1 million patient-facing calls, delivering the highest patient engagement and measurable outcomes in the industry. Also, in Europe, Tucuvi is the only CE-marked platform offering fully automated and secure low-risk phone consultations cross-pathology. 
Listen to a call here: https://www.youtube.com/watch?v=tvCDpxAgTfM",Hospitals and Health Care,11-50 employees,Privately Held,New York City,United States,tucuvi.com,https://www.linkedin.com/company/tucuvi,,,,,,,,,,,,,,,,,,,,✅ Sent
,AdsGency AI,"#1 innovative CDP, connect your data and turn it into actionable campaigns!",Software Development,11-50 employees,Privately Held,San Francisco,United States,adsgency.ai,https://www.linkedin.com/company/adsgency-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Etleap,"Etleap streamlines data ingestion and modeling, making it effortless for teams to create data products. It handles ingestion, transformation, and observability in a single platform, connecting to databases, applications, APIs, files, and streams. With built-in dbt and SQL support, deep pipeline monitoring, and deployment options in your AWS VPC or as a managed SaaS, Etleap provides enterprise-grade security, predictable pricing, and best-in-class support. Data end-users get the insights they need without IT bottlenecks, while data teams focus on building, not troubleshooting.",Software Development,11-50 employees,Privately Held,"San Francisco, California",United States,etleap.com,https://www.linkedin.com/company/etleap,,,,,,,,,,,,,,,,,,,,✅ Sent
,Yellowpop,"We design and produce custom signage that elevates spaces, builds recognition, and drives results. From LED neon and channel letters to lightboxes and 3D signs, we deliver bold visual solutions with design at the core.

Our team partners with clients early in the process to shape signage that’s not only beautiful — but purposeful. Whether for retail, hospitality, fitness, or corporate environments, our work blends creativity, craftsmanship, and performance.

In parallel, our LED neon art collections — available through both direct-to-consumer and wholesale channels — bring vibrant design pieces into homes, shops, and galleries worldwide.

 LED neon, channel letters, lightboxes, dimensional signage
 End-to-end creative and production support
 Global fulfillment, local compliance
 Trusted by leading brands — and thousands of design lovers

Let’s build something that stands out.",Retail,11-50 employees,Privately Held,Miami,United States,yellowpop.com,https://www.linkedin.com/company/yellowpop,,,,,,,,,,,,,,,,,,,,✅ Sent
,Zeda.io,"AI-powered product discovery and strategy software that helps customer-focused teams to
Gather Customer Insights → Uncover problems to solve for customers.
Build with Product Intelligence → Decide what to build next and why.
Measure Strategy Impact → Create product strategies & measure outcomes.",Software Development,11-50 employees,Privately Held,Bay Area,United States,zeda.io,https://www.linkedin.com/company/zedaio,,,,,,,,,,,,,,,,,,,,✅ Sent
,Figr,"Figr AI helps you to design products insanely fast with ease. It is your ultimate design companion, streamlining the creation of user flows, wireframes, design systems and more.",Software Development,2-10 employees,Privately Held,San Francisco,United States,figr.design,https://www.linkedin.com/company/figrdesign,,,,,,,,,,,,,,,,,,,,✅ Sent
,SiteZeus,"SiteZeus is a SaaS company dedicated to helping emerging and established multi-unit businesses accelerate their growth and maximize profits through data-driven decisions. Our comprehensive Growth Suite includes solutions for franchise sales, real estate, development, marketing, and operations teams.",Software Development,11-50 employees,Privately Held,"Tampa, Florida",United States,sitezeus.com,https://www.linkedin.com/company/sitezeus,,,,,,,,,,,,,,,,,,,,✅ Sent
,Segwise (Creative Analytics Agents),"Segwise builds AI agents to improve creative ROAS.
Our AI agents help you automate creative tagging and simplify creative analytics, helping you save hours and improve ROAS.
Get started with a 14 day FREE trial at segwise.ai","Technology, Information and Internet",11-50 employees,Privately Held,"Lewes, Delaware",United States,segwise.ai,https://www.linkedin.com/company/segwise-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Activepieces,"Turn your organization into an AI powerhouse by the new model of deploying automation. IT deploys, everyone else builds. Activepieces is the right infrastructure for your AI transformation. By the creator of the friendliest open source no-code business automation tool.","Technology, Information and Internet",11-50 employees,Privately Held,"San Francisco, California",United States,activepieces.com,https://www.linkedin.com/company/activepieces,,,,,,,,,,,,,,,,,,,,✅ Sent
,Attentions AI,"Attentions is committed to innovation and expanding the ArtiGen co-pilot ecosystem, while prioritising data security and offering deployment flexibility.

Attentions is more than just an idea; it's a research-driven approach to realising the transformative power of Generative AI (Gen-AI) for businesses of all sizes.
We believe in going beyond one-size-fits-all solutions. Our focus is on helping businesses seamlessly move their Gen-AI applications from Proof of Concept (PoC) to production, achieving real-world results faster than ever before.

Mission:
Our mission is to democratise No-Code Gen-AI. We offer affordable, easy-to-use tools that empower you to build, train, and deploy private LLMs (Large Language Models) tailored to your specific needs. We believe in empowering businesses to harness the potential of Gen-AI and unlock new levels of operational efficiency.

What We Do:
Effortless PoC to Production: We bridge the gap between experimentation and implementation, helping businesses move their Gen-AI projects into production quickly and efficiently.

No-Code Gen-AI Platform: Build, train, and deploy private LLMs without writing a single line of code. Our intuitive interface makes Gen-AI accessible to everyone.

High Accuracy & Dependency: Our private LLMs are built with your specific needs in mind, ensuring exceptional accuracy and reliable performance.

Seamless Integration: Our platform integrates seamlessly with existing business data, documents ensuring a smooth and efficient workflow.

By working with Attentions, you can:
- Achieve faster time-to-value with your Gen-AI initiatives.
- Gain a competitive edge by implementing innovative AI solutions.
- Maximise operational efficiency and employee productivity.
- Unlock the transformative power of Gen-AI, tailored to your unique business needs.

We invite you to explore how Attentions can help your business unlock the full potential of No-Code Gen-AI.

#GenerativeAI#AI#NLP#NoCodeAI#TextToSQL#VoiceAI",Software Development,11-50 employees,Privately Held,"North Bergen, New Jersey",United States,attentions.ai,https://www.linkedin.com/company/attentions,,,,,,,,,,,,,,,,,,,,✅ Sent
,LivSYT,"LivSYT is easy-to-adopt self-use SaaS-based software, designed for construction stakeholders, modular manufacturers and 3rd party inspectors to help them complete projects faster. It delivers real-time operations visibility and controls at a granular level, thereby enabling synchronised mobilisation of resources to improve job-site output. 

LivSYT eliminates inefficiencies by fundamentally shifting your organisation from memory-dependent to A.I.-driven operations. Its configurable process workflow digitisation and implementation drives compliance and accountability across your projects. With its intuitive dashboards, you get real-time project performance analytics driven by features like:

• Automated job allocation
• Integrated quality assurance
• Automated report generation
• Geo-tagging
• Push-notifications
• SOS for emergencies and more

Thus, helping you complete projects faster.",Construction,11-50 employees,Privately Held,"Austin, Texas",United States,livsyt.com,https://www.linkedin.com/company/livsyt,,,,,,,,,,,,,,,,,,,,✅ Sent
,Ricult,"Agricultural value chains are broken in most developing countries. Farmers are unable to access affordable credit, insurance, high-quality inputs, affordable logistics providers, and competitive markets. These inefficiencies lead to high rates of farmer poverty. 75% of the worlds poor are farmers.  
Ricult is a US-based award-winning Social Enterprise founded by MIT alums that develops AI/Data/Tech/Financial-based digital solutions for the agricultural ecosystem, focusing on smallholder farmers in developing countries (currently operating in Pakistan and Thailand). Ricult is one of the few companies in the world that operates at the nexus of Fintech and Agtech.
Ricult is focused on building world-class digital products for its users based on their needs and pain points.  The current portfolio of products is already deployed with more than 500,000 farmers and other leading stakeholders in the agriculture value chain.",Financial Services,11-50 employees,Privately Held,"Boston, Massachusetts",United States,ricult.com,https://www.linkedin.com/company/ricult,,,,,,,,,,,,,,,,,,,,✅ Sent
,OLake by Datazip,"Fastest open-source tool for replicating Databases to Apache Iceberg or Data Lakehouse.  Efficient, quick and scalable data ingestion for real-time analytics.",Data Infrastructure and Analytics,11-50 employees,Privately Held,"Lewes, Delaware",United States,olake.io,https://www.linkedin.com/company/datazipio,,,,,,,,,,,,,,,,,,,,✅ Sent
,RISA,Resilient infrastructure empowering mission-critical institutions to tackle humanity’s hardest hurdles.,Research Services,11-50 employees,Privately Held,"Palo Alto, California",United States,risalabs.ai,https://www.linkedin.com/company/risalabs,,,,,,,,,,,,,,,,,,,,✅ Sent
,Talentpair,"Talentpair: Your Personal AI Recruiter, Powered by a Decade of Expertise
Hiring just got smarter and faster with TalentpaiIr – your personal AI recruiter designed for internal hiring teams, talent acquisition professionals, and hiring managers. Backed by 10 years of real hiring data, TalentpAIr morphed the expertise & data of a top-tier contingent recruiting firm into an AI-driven platform, making hiring easier, more efficient, and cost-effective.
Talentpair was recently awarded the 2023 RemoteTech Overall Recruiting Solution of the Year, winning a top solution award three years running.",Internet Marketplace Platforms,2-10 employees,Privately Held,San Francisco,United States,talentpair.com,https://www.linkedin.com/company/talentpair,,,,,,,,,,,,,,,,,,,,✅ Sent
,Omniconvert,"At Omniconvert, we are the the specialized data-driven solution for experimentation in eCommerce and retail, empowering companies to improve the conversion rate and customer experience.

Our Solutions:
Omniconvert Explore: A/B testing and surveys to uncover opportunities and enhance eCommerce website performance.
Omniconvert Reveal: A platform that delivers unparalleled clarity on customer behavior, helping you monitor the metrics that matter most.
Omniconvert Pulse: AI-powered customer experience (CX) monitoring to gather, analyze, and act on customer feedback.

We are nimble enough to provide personalized care and capable enough to drive impactful results. 
By blending cutting-edge technology with the expertise of our data-driven and analytics specialists, we deliver impactful results that go beyond tools. Our hands-on approach ensures every client receives personalized support, and our scale allows us to make a significant difference where it matters most.","Technology, Information and Internet",11-50 employees,Privately Held,New York,United States,omniconvert.com,https://www.linkedin.com/company/omniconvert,,,,,,,,,,,,,,,,,,,,✅ Sent
,diio,"diio empowers consultative selling companies by revolutionizing how they manage and operate their sales teams all powered by advanced artificial intelligence. As an expert artificial sales assistant, diio ensures salespeople adhere to company standards, while offering data-driven feedback on their customer interactions. This real-time feedback is based on the latest research in consultative selling, allowing sales teams to refine their strategies and boost overall performance.
In addition to feedback, diio offers actionable tips to enhance customer engagement. These tips are informed by both cutting-edge research and the collective wisdom of your team, eliminating the guesswork in customer interactions. Say goodbye to tedious tasks such as updating the CRM, crafting follow-up emails, and maintaining records of customer conversations; diio automates these processes for you.
With features like automated customer summaries, commitment checklists, and comparisons against custom-defined sales playbooks, diio manages the finer details so your team can focus on selling. In essence, diio provides Latin American consultative selling companies with an unparalleled competitive edge, equipping them to lead confidently in an ever-evolving sales landscape.",Software Development,11-50 employees,Privately Held,"San Francisco, California",United States,diio.com,https://www.linkedin.com/company/diio-com,,,,,,,,,,,,,,,,,,,,✅ Sent
,B2Metric,"B2Metric is an AI/ML-powered data analytics platform that enables marketing, data analytics, CRM teams to better understand customer trends and behaviors. It leverages real-time data to analyze user behaviors and predicts future actions of customers on digital platforms, thereby providing an opportunity to optimize marketing and growth strategies that result in higher retention and reduced customer churn rates.

B2Metric serves over 250 companies from different industries around the world, including global leaders like Allianz, Insider and AVIS.

B2Metric has successfully completed the Alchemist Accelerator Class 35, one of the world's leading development programs.",Software Development,11-50 employees,Public Company,"Santa Clara, California",United States,b2metric.com,https://www.linkedin.com/company/b2metric,,,,,,,,,,,,,,,,,,,,✅ Sent
,CO/AI,"CO/AI is a dedicated community of AI experts, enthusiasts and lifelong learners committed to equipping individuals and businesses with skills crucial for thriving in an AI-centric economy. Our mission: make one million people AI literate in the next three years.

WHAT WE BELIEVE
We're in the midst of an unparalleled AI revolution, reshaping every industry and challenging our assumptions about job security and purpose as humans. This transformation is expected to generate trillions in new wealth and radically alter existing power structures. As the world grapples with the dual possibilities of concentrated control and widespread chaos, CO/AI aims to foster a balanced approach, ensuring that the current AI wave is one that truly lifts all boats. Central to our philosophy is AI literacy, empowering humans to navigate and shape this future.

WHAT WE DO
CO/AI offers an extensive array of resources for AI literacy:
- Leaderboards: The world's most comprehensive and easily navigable databases of the leading AI tools, events and resources
- Analytics: In-depth reports and real-time dashboards on the who, what, where, when, how and what will be in AI
- Playbooks: Expert written guides on how to utilize cutting-edge tools and tech
- Agents: Thousands of tasks automatable through our own software
News & Research: Curated academic papers, industry reports, essays and current events condensed into essential insights
- Online Courses: Courses designed to familiarize users with the AI landscape and effective use of AI tools
- Professional Services: Assistance ranging from prompt training to the deployment of large scale custom AI solutions
- Newsletters: Industry-specific updates on the biggest stories daily
- Community: Exchange knowledge and opportunities with members from prestigious universities and leading companies on our Slack channel

COAI is not merely about fostering AI literacy; we're building a future where AI enhances humanity and ensures equitable benefits for all.","Technology, Information and Internet",2-10 employees,Privately Held,"Venice, CA",United States,getcoai.com,https://www.linkedin.com/company/getcoai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Comunica.In,"Half your workforce has questions but doesn't know where to ask. Comunica.in solves this with superintelligence that delivers instant, contextual answers through WhatsApp and channels frontline workers already use. Companies like McDonald's, Bayer, Mercedes-Benz, and BRF use our communication superintelligence to connect with 1M+ employees through 150M+ communications.",Software Development,11-50 employees,Privately Held,"New York, New York",United States,comunica.in,https://www.linkedin.com/company/comunica-in,,,,,,,,,,,,,,,,,,,,✅ Sent
,Tune AI,"Tune AI is driving GenAI adoption at Enterprises.

We're backed by Accel, Flipkart Ventures, Together Fund, Speciale Invest, Techstars & other notable enterprise leaders as angel investors

TuneChat: Our chat app with 500K users
TuneStudio: Our playground for devs serves up to 1B tks/day
TuneAssistant: Our v1 implementation of an agentic workflow
ChainFury: Our open source prompt engine available on GitHub",Software Development,11-50 employees,Privately Held,"San Francisco, California",United States,tunehq.ai,https://www.linkedin.com/company/tuneai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Boomerang,"Boomerangme is a Loyalty SaaS business in the box. Upsell tool for Marketing Agencies. Get additional recurring income from existing customers offering Loyalty-as-a-Service (LAAS). Use the Reseller feature including white label, pricing and currencies set up, and payment gateway connections. Book a demo. Get a $499 value after consultation.",IT Services and IT Consulting,11-50 employees,Privately Held,"Wilmington, Delaware",United States,boomerangme.biz,https://www.linkedin.com/company/boomerangme,,,,,,,,,,,,,,,,,,,,✅ Sent
,Vast.ai,"Vast.ai is the market leader for low cost GPU rentals. The service connects data centers and professionals running the Vast hosting software with users who can quickly find the best deals for compute according to their specific requirements.
Vast.ai GPU rentals are ~3-5X cheaper than current alternatives. Consumer computers and consumer GPUs in particular are considerably more cost effective than equivalent enterprise hardware. We are helping the millions of underutilized consumer GPUs around the world enter the cloud computing market for the first time.",Software Development,11-50 employees,Privately Held,"Los Angeles, California",United States,vast.ai,https://www.linkedin.com/company/vast-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Dataro,"Dataro helps nonprofits unleash the power of their data to do more good in the world.

Our data analytics software turns donor data into donor predictions, helping fundraisers identify the best donors for their campaigns.

Engage and retain the right donors with the right ask using Dataro's AI donor predictions.",Information Services,11-50 employees,Privately Held,"San Francisco, California",United States,dataro.io,https://www.linkedin.com/company/dataro,,,,,,,,,,,,,,,,,,,,✅ Sent
